genus	family	order	class	phylum	superkingdom
Fusicatenibacter	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Gemmiger	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Geosporobacter	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Gordonibacter	Eggerthellaceae	Eggerthellales	Coriobacteriia	Actinobacteria	Bacteria
Gottschalkia	Gottschalkiaceae	Tissierellales	Tissierellia	Firmicutes	Bacteria
Haemophilus	Pasteurellaceae	Pasteurellales	Gammaproteobacteria	Proteobacteria	Bacteria
Harryflintia	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Herbinix	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Hespellia	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Holdemanella	Erysipelotrichaceae	Erysipelotrichales	Erysipelotrichia	Firmicutes	Bacteria
Holdemania	Erysipelotrichaceae	Erysipelotrichales	Erysipelotrichia	Firmicutes	Bacteria
Hungateiclostridium	Hungateiclostridiaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Hungatella	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Hydrogenoanaerobacterium	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Ichthyobacterium	Ichthyobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria
Ihubacter	Clostridiales Family XIII. Incertae Sedis	Clostridiales	Clostridia	Firmicutes	Bacteria
Intestinibacillus	Eubacteriaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Intestinibacter	Peptostreptococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Intestinimonas		Clostridiales	Clostridia	Firmicutes	Bacteria
Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
Knoellia	Intrasporangiaceae	Micrococcales	Actinobacteria	Actinobacteria	Bacteria
Kytococcus	Dermacoccaceae	Micrococcales	Actinobacteria	Actinobacteria	Bacteria
Laceyella	Thermoactinomycetaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Lachnoclostridium	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Lachnospira	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Lacrimispora	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Lactiplantibacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Lactonifactor	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Lelliottia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
Libanicoccus	Atopobiaceae	Coriobacteriales	Coriobacteriia	Actinobacteria	Bacteria
Longibaculum	Erysipelotrichaceae	Erysipelotrichales	Erysipelotrichia	Firmicutes	Bacteria
Mageeibacillus	Hungateiclostridiaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Massilimicrobiota	Erysipelotrichaceae	Erysipelotrichales	Erysipelotrichia	Firmicutes	Bacteria
Massiliprevotella	Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Massilistercora		Clostridiales	Clostridia	Firmicutes	Bacteria
Mediterraneibacter	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Megamonas	Selenomonadaceae	Selenomonadales	Negativicutes	Firmicutes	Bacteria
Megasphaera	Veillonellaceae	Veillonellales	Negativicutes	Firmicutes	Bacteria
Metakosakonia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
Mitsuokella	Selenomonadaceae	Selenomonadales	Negativicutes	Firmicutes	Bacteria
Mogibacterium	Clostridiales Family XIII. Incertae Sedis	Clostridiales	Clostridia	Firmicutes	Bacteria
Monoglobus		Clostridiales	Clostridia	Firmicutes	Bacteria
Mordavella	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Muribaculum	Muribaculaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Muricomes	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Murimonas	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Mycobacterium	Mycobacteriaceae	Corynebacteriales	Actinobacteria	Actinobacteria	Bacteria
Mycolicibacterium	Mycobacteriaceae	Corynebacteriales	Actinobacteria	Actinobacteria	Bacteria
Mycoplasma	Mycoplasmataceae	Mycoplasmatales	Mollicutes	Tenericutes	Bacteria
Negativibacillus	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Neglecta	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Neptuniibacter	Oceanospirillaceae	Oceanospirillales	Gammaproteobacteria	Proteobacteria	Bacteria
Odoribacter	Odoribacteraceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Olsenella	Atopobiaceae	Coriobacteriales	Coriobacteriia	Actinobacteria	Bacteria
Oscillibacter	Oscillospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Oxobacter	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Paeniclostridium	Peptostreptococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Paludicola	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Pantoea	Erwiniaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
Papillibacter	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Parabacteroides	Tannerellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Paraclostridium	Peptostreptococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Paraprevotella	Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Parasutterella	Sutterellaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Parvibacter	Coriobacteriaceae	Coriobacteriales	Coriobacteriia	Actinobacteria	Bacteria
Pediococcus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Peptacetobacter	Peptostreptococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Peptoniphilus	Peptoniphilaceae	Tissierellales	Tissierellia	Firmicutes	Bacteria
Peptostreptococcus	Peptostreptococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Phascolarctobacterium	Acidaminococcaceae	Acidaminococcales	Negativicutes	Firmicutes	Bacteria
Phocaeicola		Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Phocea	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Plesiomonas		Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
Prauserella	Pseudonocardiaceae	Pseudonocardiales	Actinobacteria	Actinobacteria	Bacteria
Prevotella	Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Prevotellamassilia	Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Proteiniclasticum	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Providencia	Morganellaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
Pseudobutyrivibrio	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Pseudoflavonifractor	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Raoultibacter	Eggerthellaceae	Eggerthellales	Coriobacteriia	Actinobacteria	Bacteria
Robinsoniella	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Romboutsia	Peptostreptococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Roseburia	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Ruminiclostridium	Hungateiclostridiaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Ruminococcus	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Ruthenibacterium	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Salmonella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
Selenomonas	Selenomonadaceae	Selenomonadales	Negativicutes	Firmicutes	Bacteria
Senegalimassilia	Coriobacteriaceae	Coriobacteriales	Coriobacteriia	Actinobacteria	Bacteria
Serratia	Yersiniaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
Shigella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
Slackia	Eggerthellaceae	Eggerthellales	Coriobacteriia	Actinobacteria	Bacteria
Soehngenia	Tissierellaceae	Tissierellales	Tissierellia	Firmicutes	Bacteria
Spiroplasma	Spiroplasmataceae	Entomoplasmatales	Mollicutes	Tenericutes	Bacteria
Sporobacter	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Sporobacterium	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Staphylococcus	Staphylococcaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptomyces	Streptomycetaceae	Streptomycetales	Actinobacteria	Actinobacteria	Bacteria
Subdoligranulum	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Sutterella	Sutterellaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Syntrophococcus	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Terrisporobacter	Peptostreptococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Thermoclostridium	Hungateiclostridiaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Tidjanibacter	Rikenellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Tissierella	Tissierellaceae	Tissierellales	Tissierellia	Firmicutes	Bacteria
Turicibacter	Erysipelotrichaceae	Erysipelotrichales	Erysipelotrichia	Firmicutes	Bacteria
Turicimonas	Sutterellaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Tyzzerella	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Weissella	Leuconostocaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Youngiibacter	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
	Erysipelotrichaceae	Erysipelotrichales	Erysipelotrichia	Firmicutes	Bacteria
	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria
					
	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
		Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
		Clostridiales	Clostridia	Firmicutes	Bacteria
				Planctomycetes	Bacteria
	Coriobacteriaceae	Coriobacteriales	Coriobacteriia	Actinobacteria	Bacteria
	Atopobiaceae	Coriobacteriales	Coriobacteriia	Actinobacteria	Bacteria
